欄1,l,d.corpu3
80,100,吃到飽懶人包
83,90,  逢甲夜市
104,86,逢甲夜市ALAB實驗室冰淇淋
87,85,  千層派
16,83,雙魚2次方  
78,83,清真恩德元餃子館  
97,81,美食餐廳
88,72,  牛奶鍋
24,67,老芋仔芋圓  
25,66,  日式煎餃餐館
31,64,懶人包
47,62,  紐西蘭
48,62,  領結蜜糖吐司
34,58,橘子狗  
39,55,  串燒居酒屋
51,54,春水堂  
70,54,奶香嫩仙草  
75,54,零柒咖啡
82,54,  瑪希噠辣炒年糕
107,54,台中逢甲 大甲芋頭城
63,53,橘子狗  
41,51,  日本料理餐廳
49,51,  串燒居酒屋
27,50,將將燒  
50,50,橘子狗  
60,49,大醬無煙燒烤  
33,48,  曉明湯包
109,48,朴大哥韓式炸雞 
93,47,餐廳懶人包
110,47,來自星星的炸雞
79,45,  串燒居酒屋
99,45,激旨燒
72,44,印月創意東方宴  
54,43,獅兄弟風味小酒館  
37,42,  何首烏雞湯
101,42,台中住宿攻略篇
106,42,雞排超人
76,41,  今日爌肉飯
86,41,  黑龍江黃金千層蔥花大餅
58,40,  南屯廟口炸粿
8,40,  兩班家韓式燒烤    
9,40,印月創意東方宴
10,40,台中豚王
11,40,鼎泰豐
12,40,鳥窩窩私房菜 
13,40, 義大利 GB鮮釀啤酒餐廳
14,40, 阿秋大肥鵝
15,40,饗食天堂自助百匯
35,40,印月創意東方宴   
45,40,  春水堂
85,38,印月創意東方宴  
89,38,Bellini PastaPasta貝里尼義大利麵
100,38,逢甲夜市爆漿按摩雞排
17,37,  阿杜皇家泰式料理
67,37,  義大利
96,37,FATTY'S義式創意餐廳
28,36,  牛奶鍋
32,36,台中懶人包
90,36,遇見PASTA和食
6,34,  丼飯定食
43,33,太郎日本料理  
74,33,獅兄弟風味小酒館  
77,33,  窯烤披薩 義大利
98,33,帕里歐窯烤披薩義大利廚房
103,33,閒聊昨日花卷
19,32,冬瓜青茶
20,32,  葡萄柚綠茶 
21,32,橘子狗     
22,32,韓式炸雞店
23,32,隱藏版香辣雞爪
36,32,提拉米蘇
38,32,  牛小排堡
62,31,逢甲夜市  
64,31,  美式蛋捲
105,31,逢甲夜市飛BAR蘋果醋冰沙
29,30,  本壽司
52,30,  義大利 牛小排堡
92,30,艾可漢堡[一中店] 
108,30,雞寶貝鹹水雞
1,30,士官長酸菜白肉鍋  
59,30,  列印
66,30,  德國鮮釀啤酒
2,28,好菇豬軟骨湯
3,28,墨西哥辣肉湯
4,28,  牛肋條燉湯  
73,28,  辣雞翅
7,27,慶東大閘蟹農場  
53,27,橘子狗   
61,27,  義大利
94,27,大象小吃
91,25,艾可先生-一中店
18,24,台中wifi餐廳  
26,24,  熱狗
42,24,裕元花園酒店  
5,23,逢甲Light & Salt光和鹽平價義大利麵專賣
65,21,  義大利
68,21,橘子狗  
95,21,聖娜朵義式食尚
40,19,橘子狗  
102,15,繼光香香雞-福星門市
30,3,  將將燒
