欄1,l,d.corpu3
1,1, 火腿蛋炒飯 爌肉飯
2,113, 榴槤薄餅 海南雞飯 綠豆湯 雞腳凍 中西區 嘉洲食坊
3,164, 品味當歸鴨米糕
4,71, 飲食工坊
5,1, 北國的冰點
6,128, 溏心蛋
7,128, 中西區
8,171, 吃味鮮
9,185, 中西區
10,119, 牛肉湯
11,104, 食內嗑
12,154, 中西區 古早味
13,137, 土魠魚
14,90, 溏心蛋
15,69,石二鍋  
16,200, 永康區 臭臭鍋
17,119, 雙層牛肉吉士堡
18,200, 君成食記 中西區
19,230, 中西區 君成食記
20,2, 薑母鴨 永康區
21,200, 脆皮雞排
22,74, 黑肉丸
23,154, 復興羊肉
24,317, 北區
25,200, 醉月樓
26,341, 夯胖 中西區
27,169, 菜粽 肉粽 中西區 古早味
28,78, 不老泉養生館
29,183, 食內嗑
30,193, 食內嗑
31,191, 胡椒餅 北區 福州香
32,350, 石二鍋
33,154, 全一心火雞肉飯 中西區
34,134, 牛肉湯
35,148, 安南區 新厝土魠魚羹
36,96, 牛肉湯 中西區 阿棠牛肉湯
37,0, 紐西蘭
38,150, 牛肉湯 文章牛肉湯
39,130, 中西區 老先覺麻辣窯燒鍋
40,107, 薑母鴨 永康區 周皇薑母鴨
41,122, 中西區 順億鮪魚
42,126, 百里香 安南區
43,143, 中西區 老泰羊肉店
44,1, 古早味
45,151, 食內嗑 中西區
46,81, 食內嗑 中西區
47,128, 三兄弟串烤
48,178, 王氏魚皮
49,122, 永康區 京都日式丼飯
50,164, 北區 阿富肉燥飯 海產粥
51,176, 順伯雞翅 安南區
52,157, 中西區 戽斗米糕
53,258, 永康區
54,183, 中西區 雙品香酥豬排
55,239, 三口關東煮物
56,137, 圓仔冰 安南區
57,106, 艾力喀
58,138,永康區 珍好味臭臭鍋  臭臭鍋
59,78,麻豆區  
60,1, 古早味
61,139, 北區 小麥先生創意料理 義大利
62,102,中西區 齊隊長  
63,48, 中西區
64,1, 中西區
65,137,中西區 阿娟咖哩飯  古早味
66,195,中西區 一味品碗粿  
67,184,中西區 佳佳餐飲屋  
68,34, 中西區
69,165,麻豆區  
70,1, 永康區
71,1, 古早味
72,85, 櫻花霜淇淋
73,85, 彩虹大地
74,168,永康區 歸仁黑輪  
75,115, 品香肉粽 肉粽
76,166, 方師傅 燒臘 海南雞飯
77,36, 雙層牛肉吉士堡 燒臘
78,129,中西區  
79,95,新市區 佳香味  胡椒餅
80,160, 阿明牛肉湯
81,230, 洛克爍克 永康區
82,111,中西區 湯關東煮  安南區
83,230,永康區 金記 燒臘  
84,2, 古早味
85,173,中西區  阿伯果汁
86,172, 肉粽 菜粽
87,123,永康區 功夫廚神  
88,194, 魏姐包心粉圓
89,111, 永康區
90,94,中西區 兩津日系燒烤  
91,97,中西區  義大利
92,96,中西區  
93,95,中西區 郭記肉粽  肉粽
94,200,中西區 豐發黑輪  
95,111,北區  
96,102,中西區 清根朱過魚湯  
97,85,中西區  
98,342,永康區  
99,127,中西區 阿文豬心  
100,124, 張媽媽梅子雞咖啡庭園
101,138,中西區 豪客牛排  
102,130,新化區 街役場  
103,116,中西區 阿枝牛肉湯  
104,112,北區  
105,9, 上品養生藥膳美食
106,3,麻豆區 白面東楊桃汁  
107,99,中西區  
108,120, 阿財牛肉湯 牛肉湯
109,200, 阿輝黑輪
110,118, 岡山羊肉
111,0,古早味  
112,2, 義大利
113,103,中西區 吳家鱔魚  
114,117,中西區  
115,132,北區 老牌雞蛋糕  
116,107,中西區 古早味碳烤  
117,158, 麻糬瑛
118,174,中西區 慈恩素食  
119,230, 洛克爍克
120,199,安南區  
121,173, 六鼎食堂 古早味
122,230,學甲區  
123,230,中西區 禾野屋  
124,86,學甲區 利達豆花  
125,199,學甲區 永通虱目魚粥  
126,2, 古早味
127,325, 永康區
128,168, 榴槤煎餅
129,6, 奇奇亞 中西區
130,52,白花亭 玉子燒  
131,120, 泰灣曼谷
132,136, 燒臘
133,3, 永康區
134,99, 白花亭 玉子燒
135,133,中西區 阿浚師  
136,2, 義大利
137,108, 白花亭 玉子燒
138,125,中西區  
139,121, 藤喜家
140,1, 古早味
141,12, 利達豆花
142,98, 永康區
143,115,中西區  
144,75,中西區  土魠魚
145,71, 古堡蚵仔煎
146,112, 阿喜古早味蛋糕
147,112,中西區  
148,157,中西區  焗烤壽司
149,88,中西區 十方鼎盛臭臭鍋  
150,8, 中西區
151,76,永康區 阿哺哩臭豆腐  
152,5, 永康區
153,121,中西區  
154,88,安南區  
155,88,中西區 開章大吉  
156,186,中西區  
157,85,中西區 小康旗魚浮水魚羹  
158,82,中西區  燒臘
159,120, 永康區
160,13,麻辣食堂  
161,86,中西區 泰星球  
162,68,中西區  
163,93,中西區  
164,110,永康區 耀武羊威  
165,4,新欣奇義法料理餐廳  麻豆區 義大利
166,64,中西區  菜粽 肉粽
167,85,北區  
168,75, 肉粽
169,2, 海產粥
170,90, 綠豆湯
171,76,中西區 大歡喜  
172,1, 古早味
173,1,好味道食堂  
174,83,新化區  
175,52, 古早味
176,53,中西區  海產粥
177,56,永康區  牛肉湯
178,76,北區 香港文記燒臘  燒臘
