欄1,l,d.corpu3
23,10,"  ""宇兵衛壽司""  "
87,11,  辛泰王
59,12,  哈瑪星旗魚丸大王
21,13,  夜坡輕食館
63,14,  林天生雞肉飯
55,14,  福軒花蓮扁食
86,15,  月娥鴨肉店
34,15,  小狸食堂
79,15,  輝記當歸鴨
4,16,  虱目魚肚湯 肉燥飯
36,16,  宇兵衛壽司
1,16,  包子店
50,16,  青采食堂
75,16,  頂好燒餅專賣店
52,16,  壹兩雲吞
56,17,  知高壽司
76,17,  阿MA日式咖哩
42,20,  上好牛排
11,20,  森禾田日式涮涮鍋  
16,20,  劉家酸白菜二館
58,20,  李嘉義火雞肉飯
65,20,  悅心餐廳
78,20,  新堀江小師傅蔥抓餅
91,20,  味津排骨大王
32,20,  日月香越南料理屋
15,20,  小圈圈霜淇淋
6,20,  一合居
85,20,  迪亞夢朵烘焙
29,20,  五甲肉圓
81,20,  袋袋木冰淇淋
64,20,  光食堂日式餐廳
2,20,  日式鰻魚丼飯 鮮魚定食 知高壽司
90,20,  鼎記烙餅
5,20,  豬排飯
61,20,  九日串燒
26,20,  永泰烤鴨夾餅
12,20,  翠王香港茶餐廳
8,20,  李記小籠包
14,20,  福記臭豆腐
67,20,  翠園粵菜餐廳
74,20,  福軒花蓮扁食
69,20,  豆豆營冰城美食
80,20,  老牌蓮藕茶
51,20,  阿成炒飯專賣店
66,20,"  Dor,留 手工義大利麵"
92,20,  永富冰品
77,20,  小圈圈霜淇淋
83,20,  一合居
60,23,  三集高廚餐廳
57,23,  天津味早餐專賣店
10,23,  胡同燒肉8號店
3,23,  南洋叻沙鍋湯頭
71,23,  泰平的店
30,23,  蚵仔寮漁港
22,23,  任性餐廳
82,24,  天廚河粉
62,24,  石記臭豆腐
9,24,  胡椒蝦
70,24,  布雷克義麵坊
17,24,  土魠魚 無名虱目魚粥
84,24,  貓頭鷹咖啡館
49,24,  韓式美食
53,24,  吉拉朵義式手工冰淇淋
45,25,  廣東汕頭勝味火鍋
88,25,  惠眾紹興炒飯
28,25,  吉品肉圓
19,25,  兄弟檔牛排
35,26,  Concent SNACK BAR - 康森史奈克ㄅ
44,26,  味四季和食日本料理
24,26,  楊記麻辣小火鍋
27,26,  生源小籠包
33,30,  香菇瓜仔肉飯
37,30,  幸福海灣風味廚房
43,30,  仁武豆花婆  
7,30,  土魠魚
89,30,  界揚早點
41,30,  老王壽司店
48,30,  東大門韓式燒烤暢食料理館
40,30,  小溝頂木瓜牛奶
54,30,  志華北平烤鴨
46,30,  山東蔥油大餅
39,31,  六合烤肉之家 海味澎湖平價活海鮮 約翰碳烤三明治
13,32,  知味村溫洲大餛飩
25,32,  壽司一番技
47,32,  江南韓式料理
73,33,  肉燥飯 老牌 周燒肉飯
20,34,  施家三十年蔥肉餅
38,34,  名家汕頭沙茶火鍋
95,38,  美迪亞漢堡
18,38,  川記烤鴨
72,40,  旗山老街菠蘿泡芙
93,40,  雜糧煎餅包脆餅
31,42,  賴桑壽司屋
68,46,  操豆腐
94,61,  鄧家粉圓 黃家粉圓冰
